"","Comp1","Comp2","Comp3","Comp4","Comp5","Comp6","Comp7","Comp8","Comp9","Comp10","Comp11","Comp12","Comp13","Comp14","Comp15","Comp16","Comp17","Comp18","Comp19","Comp20","Comp21","Comp22","Comp23","Comp24","Comp25","Comp26","Comp27","Comp28","Comp29","Comp30"
"AMNH_251658",-0.159419561875957,0.0519038734896603,0.123100424272149,0.0618038483061138,0.0685712017572942,-0.0179848480652251,-0.0528239703901588,-0.0206630716224755,-0.00390526696838372,-0.00200501663361408,-0.039678026827417,-0.039747667810041,-0.0180158431244095,0.00386523382777881,-0.0402471492284602,0.00940067701738868,-0.00946156112724091,0.023640167873083,-0.0119539144774766,-0.0167147920951867,-0.00636176434707904,-0.000125918625650065,-0.00728955034394603,-0.0161086294228037,0.0111721107342739,-0.00272158161643681,0.00136576331128994,-0.0123533655806047,-0.00400618216355917,-1.61790905614875e-05
"ANSP_133767",-0.0210706803469456,0.177037829215527,0.0644122440791653,0.0769738909819594,-0.0234699507850635,-0.005508632980302,-0.00515928456642947,0.0110919659030245,-0.0277903457919718,0.0301175476742434,-0.0265607784101807,-0.0235744993994401,-0.0142723205818445,0.0201318575266075,0.00413995108619643,0.00759324823772431,-0.0114796858427626,0.00545853909798064,-0.00574207169341446,-0.00731496528193525,-0.0131168527649824,-0.0127278590858315,0.00605484544744095,-0.00155981400555881,0.000254083694095272,0.0083226880368743,-0.00469743167559201,0.0102722343169166,-0.00432473296336994,0.000845281575264452
"MCP_51463_1",0.0805407223157011,0.151513561884789,-0.0868586061781646,-0.0289370197862031,-0.00478061840925788,0.0932941236148875,-0.00233531782889928,0.0399072564897975,-0.0247667722226383,-0.0231745822836398,0.0208170466061346,0.036721204465102,-0.0704052809463291,-0.0129390447660169,0.000982389640535302,-0.0227700849855345,0.000670643823264007,-0.0113925202981479,0.00391112736329894,0.0013128697003142,-0.0109003148532074,0.0161472928078089,0.00836565269525709,0.000832931447747641,0.00403508054729672,-0.00709499887250059,0.00883325854940449,-0.00649514291704885,-0.000605171982614575,0.00148754544199612
"ANSP_174122",0.0780724561597626,0.104202912725972,0.107451848145548,0.126162070904897,0.0736363205549351,0.0238856698150323,0.0258061628431172,-0.0324403833621078,-0.0241469720202179,-0.0247904811258713,0.0279471153402192,0.00384017123617402,-0.00190586044533636,0.0252108109829132,0.0459539904896018,0.0276840589475488,0.012844668669439,0.00878471223073789,0.0251098051921799,0.00479292607081304,-0.0164337166110481,-0.0160949331362004,-0.00677404722380371,0.00988818176095531,-0.00478475032026304,-0.00161532852071716,0.00249298450974989,-0.000834440918724032,0.00707590076742871,0.00730262481541712
"ANSP_174123",0.053453186027495,0.0759490211430882,0.0200643126951717,0.0706026784646957,0.125708508394522,0.0543814383698636,0.055981258960149,-0.0478039398844164,-0.0376846703561363,-0.0158279534188148,0.0515686859751268,-0.0341884211273857,-0.0159327159316637,0.00455027464792773,0.000588707797645082,0.0515669265403249,-0.0180630311135521,0.0420461693373045,-0.00215038148227661,-0.021559188076219,0.0045583545317089,-0.0103757291121728,0.00219261252498444,0.00952533255233085,-0.00666735956991232,0.0069709297387939,0.000454606835123452,-0.00677182841710478,-0.000399876787952899,-0.00445318494698566
"AMNH_74453",-0.0428678746533075,0.146962361149727,0.0568967589592815,0.104674434257432,-0.0304566922215916,0.0329943804971471,0.0233991699472652,-0.0100096256173262,0.0191117656570961,-0.0142995158434081,-0.000702641087216911,-0.0232177587950728,0.0454217119477773,0.033863698754011,0.024129222850938,-0.0610142018102281,0.0232957502953852,0.00232007370755038,-0.0141802762257047,0.00281506686900206,0.00193128894232599,0.00684728872996015,-0.00219814001729976,-0.0189897017554995,0.0155279759950171,0.00448868009723151,-0.0154327439507383,0.00284591223674773,-0.011455379424948,-0.00067391001503884
"ANSP_174732",0.0622913518758894,0.176250505590054,-0.00906278236140087,0.0372861750661409,-0.035356974250239,-0.0142168113991967,-0.0711006315532633,0.0207283125239213,0.00109787977106383,-0.00125106417632011,-0.0294852308655854,0.0111257131444337,-0.0559378858024513,0.0287728568253794,0.0204092018147156,-0.0231781832089664,0.0129250305078844,0.0246625605644675,-0.011776402018421,-0.00485611929975837,-0.01131386985157,0.0277395737230614,0.0113011144260879,-0.0018390419912069,0.00103362841898593,-0.00314220624054666,-0.00398321164945593,0.0088729874165453,-0.00551554334436175,-0.00453427867757793
"ROM_uncat_1",0.0833763161157975,0.165549847893331,0.0516751477331232,0.0559257176518285,-0.0246168559346331,0.0383013385541892,-0.101878162648595,-0.00854107660707467,-0.0154577915500419,-0.0359229991807915,-0.0249332302745651,0.0322860785514559,-0.0330601414704763,0.0178700053116292,-0.0201738174367662,-0.0036698727515534,0.0566176062609812,0.00996362868692416,-0.0168284808703055,0.00236912280556092,0.00352418935753303,0.018908180159623,0.0134956585127594,0.000698777703791258,0.00516880709874506,0.01326180835031,-0.0149517273190107,0.00709493177996866,-0.00500631764043496,-0.0084976191386901
"AMNH_261780",0.03238798850434,0.199438004177976,0.132680055510784,0.0571474766635709,0.0493971271738091,0.0024812057200048,-0.0340816934560054,0.0543007360906274,0.0121921920841474,-0.0369733126308624,-0.0509217665666745,0.0444331157114613,-0.0300361547967465,-0.014241571988025,-0.0186688124647785,0.00257858704236617,0.0196344041282321,-0.00759380476670757,0.00594130413266133,-0.00643149918837081,0.00168391223634892,-0.0401077376376602,0.0181366359063411,0.0185380610866358,-0.0165934561295318,-0.00997208213457825,0.0186419469686388,-0.00770499878471252,0.000280396271687407,-0.00467239164738617
"ANSP_84381",0.0139774055641134,0.197400277476821,-0.00751341666438267,0.0831468403000029,0.0769909842161143,-0.0410868508773168,0.118188277354626,0.129195272592879,-0.0255338182311612,-0.0218859917018867,-0.0216670581484993,0.0201274647275588,-0.0590033068788158,-0.022776953946781,0.00481369824607866,-0.00280874863250322,-0.0201721713313316,-0.00677442304934154,0.0306544938378752,0.0101565465909601,-0.0248888078806319,0.00399138503261459,-0.00457530676855395,0.0148544547782876,-0.0148632506215515,0.0108806136925047,0.00391900292882059,-0.00993575078024066,-0.00340446897702887,-0.00595632925583637
