"","sp_rich","assemblage","cell_long","cell_lat","country","locality","avg_nnd","sd_nnd","hv3d","hv6d","cd","comp1_cen","comp2_cen","comp3_cen","comp4_cen","comp5_cen","comp6_cen"
"298",2,"19460229",-45.86407192321,-23.4793485524856,"BR","Ribeirão Grande, Sítio Sao José, estrada de terra Salesópolis/Santa Branca (SP-77)",0.108192458299465,0,NA,NA,0.391870567598361,-0.305424374980115,-0.0932668110079306,-0.0442918898239987,0.027648129176937,0.00397890614785217,0.0351116235904824
"299",2,"19513134",-45.3976843717054,-23.5817243229609,"BR","Rio do Ouro, Reserva Florestal de Caraguatatuba, 22.v-1.vi.1962",0.456601421789052,0,NA,NA,0.251624728152689,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"300",2,"19517536",-45.428776875139,-23.5902591560338,"BR","Riacho localizado no Parque Estadual da Serra do Mar-P05",0.456601421789052,0,NA,NA,0.248268511670755,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"301",2,"19569640",-53.2640877404159,-23.6927195684634,"BR","Arroio Pitanga",0.223972018814515,0,NA,NA,0.356991569904033,-0.11656572580076,0.0161818898191327,0.0134573901471871,0.117507068003876,-0.0305626704145873,0.00602764048449249
"302",2,"19596745",-46.2682744678473,-23.7439792391963,"BR","",0.456601421789052,0,NA,NA,0.219794900782339,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"303",2,"19609955",-46.3200953069033,-23.7696164683718,"BR","Rio Grande, na estrada de terra para a Vila de Paranapiacaba",0.456601421789052,0,NA,NA,0.325090187698743,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"304",2,"19693603",-46.8072111940303,-23.9321006277838,"BR","Rio Embu Guaçu, dentro da APA Capivari-Monos",0.456601421789052,0,NA,NA,0.327355566619073,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
"305",2,"19825732",-47.0248587180658,-24.1890629118794,"BR","Rio do Ouro, afl. rio Preto (bacia do rio Itanhaém)",0.410931153014519,0,NA,NA,0.337323571172289,0.0490681328805985,-0.00371989903893714,0.0441868018345123,0.045352241654098,0.0237317617511137,-0.0330644462838077
"306",4,"19843362",-46.9212170399537,-24.2233626875663,"BR","Riacho afluente do rio Castro, próx. ao Balneário Gaivota, km 337 da SP-55",0.112397158195743,0.0638685753234395,5.689594915575e-06,NA,0.356129564488466,0.0524120722860193,0.0836041863099031,-0.0315047784480286,-0.02750142465417,-0.0185751388100493,0.0273314369610612
"307",3,"19865323",-47.5845237798713,-24.2662501142624,"BR","Rio Ribeirão sob a ponte na estrada SP 079, em Poco Grande, 9 km ao N da sede de Juquiá (drenagem rio Juquiá",0.189796536543044,0.118501982244097,NA,NA,0.269775871090126,0.0693894997467656,-0.0166385299383948,0.0267226231624709,-0.055314550688624,0.0190110511669885,-0.0273543180236287
"308",3,"19904933",-47.9472696532637,-24.3434831765177,"BR","CÃ³rrego das Laranjeiras",0.18696031773342,0.182578647898948,NA,NA,0.307145522957357,0.230534674076556,-0.095600633115625,0.0174637389712845,0.0431548057420658,-0.0632900823828091,0.0236618214111546
"309",2,"20050152",-49.4604381537008,-24.6270670135394,"BR","Riacho de nome desconhecido",0.456601421789052,0,NA,NA,0.267350363383501,0.072419913084464,0.00429496703622985,0.0162741508007642,0.0533740306976622,-0.0425419554908077,-0.00166203732955382
